Nationality	Applicant_Type	Service_Center	Category	Application_Filed	USCIS_Received_Date	USCIS_Notice_Date	I-140_Filing	Processing_Type	RFE_Received	RFE_Received_Date	Reason_RFE	RFE_Replied_Date	Application_Status	Approval_Denial_Date
India	primary	Nebraska	EB2	7/13/07	7/15/07	.	non-concurrent	regular	yes	9/25/11	Regarding VSG	.	approved	11/5/11
India	.	Texas	EB3	8/2/07	.	.	concurrent	regular	no	.	.	.	pending	.
India	primary	Nebraska	EB3	4/9/07	4/9/07	.	non-concurrent	regular	yes	9/19/11	Petitioner financial details	.	pending	.
India	.	Texas	EB2	.	5/16/07	.	non-concurrent	regular	no	.	.	.	pending	.
India	primary	Texas	EB2	8/15/07	8/17/07	.	concurrent	regular	no	.	.	.	approved	8/30/08
India	.	Nebraska	EB2	7/9/07	7/10/07	.	non-concurrent	regular	no	.	.	.	pending	.
India	primary	Nebraska	EB2	8/15/07	10/25/07	.	concurrent	premium	no	.	.	.	pending	.
India	primary	Texas	EB3	3/14/07	3/20/07	.	non-concurrent	regular	yes	7/1/10	Ability to Pay	9/29/10	denied	7/2/11
India	primary	Vermont	EB3	8/9/11	8/10/11	.	non-concurrent	premium	no	.	.	.	approved	8/29/11
India	primary	Texas	EB2	2/11/11	2/13/11	.	non-concurrent	regular	no	.	.	.	approved	7/25/11
India	primary	Texas	EB3	8/8/07	8/9/07	.	concurrent	regular	no	.	.	.	approved	4/1/08
India	primary	Texas	EB2	5/5/07	7/13/07	.	non-concurrent	regular	no	.	.	.	approved	10/2/07
India	primary	Texas	EB2	7/7/08	7/7/08	.	non-concurrent	regular	no	.	.	.	approved	9/15/08
India	primary	Nebraska	EB2	8/15/07	10/13/07	.	concurrent	regular	no	.	.	.	approved	1/7/07
India	primary	Texas	EB2	7/26/07	7/26/07	.	concurrent	regular	no	.	.	.	approved	8/20/08
India	primary	Nebraska	EB2	5/3/08	5/5/08	.	non-concurrent	regular	yes	.	.	11/4/08	denied	4/10/09
India	primary	Nebraska	EB2	1/1/07	1/1/07	.	non-concurrent	premium	no	.	.	.	approved	1/1/07
India	primary	Nebraska	EB3	1/2/08	4/4/08	.	non-concurrent	regular	no	.	.	.	approved	4/17/09
India	primary	Texas	EB2	11/6/10	11/6/10	.	non-concurrent	premium	no	.	.	.	pending	.
India	primary	Nebraska	EB2	3/27/07	3/27/07	.	non-concurrent	premium	no	.	.	.	denied	7/6/10
India	primary	Texas	EB2	4/8/08	4/9/08	.	non-concurrent	regular	no	.	.	.	approved	7/23/09
India	primary	Texas	EB3	9/21/08	9/27/08	.	non-concurrent	regular	no	.	.	.	approved	2/26/09
India	primary	Nebraska	EB2	4/4/06	6/4/06	.	concurrent	regular	no	.	.	.	denied	4/4/08
India	primary	Nebraska	EB3	6/10/07	6/14/07	.	concurrent	regular	yes	.	.	1/6/09	approved	1/15/09
Bangladesh	primary	Nebraska	EB3	3/6/07	7/27/07	.	non-concurrent	regular	no	.	.	.	approved	5/18/09
India	primary	Nebraska	EB3	12/1/06	3/27/07	.	non-concurrent	regular	no	.	.	.	approved	4/29/08
India	primary	Texas	EB2	7/14/07	7/21/07	.	non-concurrent	regular	no	.	.	.	approved	3/10/08
India	primary	Nebraska	EB2	4/8/08	4/12/08	.	non-concurrent	regular	no	.	.	.	approved	7/19/08
India	primary	Nebraska	EB2	7/28/06	8/3/06	.	non-concurrent	regular	no	.	.	.	approved	6/2/07
India	primary	Nebraska	EB3	10/4/03	9/3/07	.	non-concurrent	regular	yes	.	"RFE on my EB2 140 application ... <a title=""RFE on my EB2 140 application converted to EB3 by employer."" href=""/usa-immigration-trackers/discuss/i140/9765"">more</a>"	12/5/07	approved	3/25/09
India	primary	Vermont	EB3	5/1/07	5/12/07	.	non-concurrent	regular	no	5/1/09	Employment Verification	7/5/09	approved	5/20/09
India	.	Nebraska	EB3	6/20/07	.	.	concurrent	regular	no	.	.	.	pending	.
India	primary	Nebraska	EB2	6/14/10	6/16/10	.	non-concurrent	premium	no	.	.	.	approved	6/21/10
Venezuela	primary	Nebraska	EB3	1/25/07	1/25/07	.	non-concurrent	regular	no	.	.	.	approved	10/15/07
India	primary	Nebraska	EB3	8/14/07	8/27/07	.	concurrent	regular	no	.	.	.	approved	5/5/09
India	primary	Texas	EB3	7/14/07	7/17/07	.	non-concurrent	regular	no	.	.	.	approved	3/29/10
India	primary	Texas	EB3	12/13/07	12/17/07	.	non-concurrent	regular	no	.	.	.	approved	8/22/08
India	primary	Texas	EB3	8/8/06	10/4/06	.	concurrent	regular	no	.	.	.	approved	12/12/06
India	primary	Nebraska	EB3	7/11/07	7/12/07	.	concurrent	regular	yes	.	.	.	denied	2/1/09
Indonesia	primary	Texas	EB3	10/9/07	10/9/07	.	concurrent	regular	no	.	.	.	approved	6/17/09
India	primary	Texas	EB2	5/23/08	8/25/08	.	non-concurrent	premium	no	.	.	.	approved	8/25/08
India	primary	Nebraska	EB3	7/23/07	8/21/07	.	concurrent	regular	no	.	.	.	approved	4/4/09
India	primary	Texas	EB3	1/6/07	1/9/07	.	non-concurrent	premium	no	.	.	.	approved	10/10/09
India	primary	California	EB3	7/17/08	7/17/08	.	concurrent	premium	no	.	.	.	approved	4/1/09
India	primary	Nebraska	EB3	7/8/07	7/11/07	.	concurrent	regular	no	.	.	.	approved	8/20/09
India	primary	Texas	EB2	8/12/07	8/13/07	.	concurrent	regular	no	.	.	.	approved	5/7/09
India	primary	Nebraska	EB1A	10/20/08	10/20/08	.	non-concurrent	regular	yes	7/17/09	"* A mere reference or citation... <a title=""* A mere reference or citation of the work of the petitioner does not satisfy the fact that the research work is of significant nature.  * Petitioner has high number of research articles but publication of articles is part of the career path.  Additiona"" href=""/usa-immigration-trackers/discuss/i140/10490"">more</a>"	.	withdrawn	.
India	primary	Nebraska	EB3	12/7/07	1/8/08	.	non-concurrent	regular	no	.	.	.	approved	4/2/09
India	primary	Nebraska	EB2-NIW	2/25/09	2/25/09	.	non-concurrent	regular	no	.	.	.	approved	11/6/09
India	primary	Texas	EB2-NIW	9/25/08	9/26/08	.	concurrent	regular	no	.	.	.	approved	9/10/09
India	primary	Texas	EB2	9/14/07	9/15/07	.	non-concurrent	regular	no	.	.	.	approved	5/22/08
Nepal	primary	Texas	EB2-NIW	8/25/08	8/27/08	.	non-concurrent	regular	yes	8/14/09	"Almost all required for EB2 NI... <a title=""Almost all required for EB2 NIW. Citations, publications before filing,  past achievement and future projection. "" href=""/usa-immigration-trackers/discuss/i140/10904"">more</a>"	9/10/09	approved	10/26/09
India	primary	Nebraska	EB3	7/19/07	7/27/07	.	non-concurrent	regular	no	10/6/09	"They wanted my W-2 from 2007 a... <a title=""They wanted my W-2 from 2007 and 2008. "" href=""/usa-immigration-trackers/discuss/i140/2896"">more</a>"	.	approved	10/14/09
India	primary	Nebraska	EB3	5/16/07	5/24/07	.	concurrent	regular	yes	.	.	1/21/09	approved	1/29/09
Japan	.	Nebraska	EB3	8/15/07	8/16/07	.	concurrent	regular	no	.	.	.	pending	.
India	primary	Texas	EB2	7/26/07	7/26/07	.	concurrent	regular	no	.	.	.	approved	8/21/09
India	primary	Texas	EB2	7/13/07	7/13/07	.	non-concurrent	regular	no	.	.	.	approved	1/18/08
India	primary	Nebraska	EB3	1/17/07	1/23/07	.	non-concurrent	regular	no	.	.	.	approved	8/8/07
India	primary	Nebraska	EB2	8/15/07	.	.	concurrent	regular	no	.	.	.	approved	7/15/08
India	primary	Vermont	EB2	6/5/08	.	.	non-concurrent	regular	no	.	.	.	approved	12/30/08
India	primary	Nebraska	EB2	7/18/08	7/21/08	.	non-concurrent	regular	no	.	.	.	approved	10/6/08
China	primary	Nebraska	EB1B	11/19/08	11/19/08	.	non-concurrent	regular	yes	7/27/09	"additional evidence for all cl... <a title=""additional evidence for all claimed criteria. officer EX0450. No LUDs since submitting RFE response. Today getting email from uscis &quot;approval notice sent&quot;."" href=""/usa-immigration-trackers/discuss/i140/10817"">more</a>"	9/1/09	approved	9/28/09
Unknown	primary	Texas	EB1A	10/27/08	10/29/08	.	concurrent	regular	no	.	.	.	denied	4/27/09
India	primary	Nebraska	EB2	5/3/07	5/7/07	.	non-concurrent	regular	yes	2/2/08	.	2/16/08	denied	3/11/08
Unknown	primary	Nebraska	EB3	9/4/06	.	.	non-concurrent	regular	no	.	.	.	approved	9/10/07
Philippines	primary	Texas	EB3	11/1/07	1/17/08	.	non-concurrent	regular	no	.	.	.	approved	11/25/08
