Nationality	Applicant_Type	Service_Center	Category	Application_Filed	USCIS_Received_Date	USCIS_Notice_Date	I-140_Filing	Processing_Type	RFE_Received	RFE_Received_Date	Reason_RFE	RFE_Replied_Date	Application_Status	Approval_Denial_Date
Russia	primary	Vermont	EB3	12/14/07	12/18/07	.	non-concurrent	premium	no	.	.	.	approved	8/14/08
United Kingdom	primary	Nebraska	EB1C	12/31/12	12/27/12	.	concurrent	regular	no	.	.	.	approved	6/17/13
India	primary	Vermont	EB2	4/29/13	4/30/13	.	non-concurrent	regular	no	.	.	.	approved	6/17/13
India	primary	Texas	EB2	4/26/13	4/26/13	.	non-concurrent	premium	no	.	.	.	approved	5/7/13
India	primary	Nebraska	EB2	4/26/13	4/27/13	.	non-concurrent	premium	.	.	.	.	approved	5/8/13
India	primary	Nebraska	EB2	4/30/13	4/30/13	.	non-concurrent	premium	.	.	.	.	approved	5/3/13
India	primary	Nebraska	EB2	4/22/13	4/30/13	.	non-concurrent	premium	no	.	.	.	approved	5/1/13
Iran	primary	Nebraska	EB2	8/31/12	8/31/12	.	concurrent	premium	no	.	.	.	approved	10/1/12
India	primary	Nebraska	EB1C	11/2/12	11/5/12	.	concurrent	regular	no	.	.	.	approved	4/29/13
Canada	primary	Nebraska	EB2	3/26/13	3/26/13	.	non-concurrent	premium	yes	4/5/13	.	4/18/13	approved	4/26/13
India	primary	Nebraska	EB2	4/7/13	4/11/13	.	non-concurrent	regular	no	.	.	.	approved	6/11/13
India	primary	Nebraska	EB1C	12/16/12	12/16/12	.	non-concurrent	regular	.	.	.	.	approved	6/10/13
India	primary	Nebraska	EB1A	1/22/13	1/22/13	.	non-concurrent	premium	no	.	.	.	approved	5/22/13
India	primary	Vermont	EB2	4/18/13	4/20/13	.	non-concurrent	premium	no	.	.	.	approved	4/25/13
India	primary	Nebraska	EB2	4/19/13	4/21/13	.	concurrent	premium	.	.	.	.	approved	4/29/13
India	primary	Nebraska	EB2	3/28/13	3/29/13	.	non-concurrent	premium	.	.	.	.	pending	.
India	primary	California	EB2	2/4/13	2/6/13	.	non-concurrent	premium	yes	2/13/13	"USCIS requested last two years... <a title=""USCIS requested last two years GC profiles filed by my employer. "" href=""/usa-immigration-trackers/discuss/i140/21914"">more</a>"	4/25/13	approved	5/6/13
India	primary	Texas	EB2	4/22/13	4/23/13	.	non-concurrent	premium	no	.	.	.	approved	4/30/13
India	primary	Texas	EB3	6/21/14	2/22/14	.	non-concurrent	regular	.	.	.	.	pending	.
Hong Kong	primary	Nebraska	EB2	11/14/11	11/14/11	.	concurrent	regular	.	.	.	.	approved	4/27/12
United Kingdom	primary	Texas	EB1A	4/1/13	4/1/13	.	non-concurrent	regular	no	.	.	.	approved	6/7/13
India	primary	Texas	EB2	4/23/13	4/25/13	.	non-concurrent	premium	no	.	.	.	approved	4/30/13
Nigeria	primary	Nebraska	EB2	4/22/13	4/23/13	.	non-concurrent	premium	no	.	.	.	approved	4/25/13
India	primary	Texas	EB2	4/4/13	4/8/13	.	non-concurrent	premium	no	.	.	.	approved	4/22/13
Taiwan	primary	Texas	EB2-NIW	2/28/13	3/4/13	.	non-concurrent	regular	no	.	.	.	approved	4/15/13
India	primary	Texas	EB1C	11/19/12	11/20/12	.	concurrent	regular	.	.	.	.	pending	.
India	primary	Texas	EB2	4/17/13	4/17/13	.	non-concurrent	premium	yes	4/25/13	Education Evaluation Required.	5/2/13	approved	5/10/13
China	primary	Nebraska	EB2-NIW	10/2/12	10/2/12	.	non-concurrent	regular	no	.	.	.	approved	5/10/13
South Korea	primary	Nebraska	EB2	2/3/13	2/5/13	.	non-concurrent	regular	.	.	.	.	approved	4/22/13
India	primary	Nebraska	EB2	5/11/13	5/13/13	.	non-concurrent	premium	no	.	.	.	approved	5/17/13
India	primary	Nebraska	EB3	4/18/13	4/19/13	.	non-concurrent	premium	no	.	.	.	approved	4/26/13
India	primary	Vermont	EB2	3/7/11	3/11/11	.	non-concurrent	regular	.	.	.	.	approved	5/5/11
Germany	primary	Texas	EB2-NIW	12/3/12	12/4/12	.	non-concurrent	regular	no	.	.	.	approved	4/15/13
India	primary	Nebraska	EB1C	1/28/13	1/28/13	.	non-concurrent	regular	yes	.	.	.	approved	9/12/13
India	primary	Texas	EB2	4/9/13	4/12/13	.	non-concurrent	premium	.	.	.	.	pending	.
India	primary	Texas	EB2	2/4/13	2/4/13	.	concurrent	regular	.	.	.	.	pending	.
India	primary	Nebraska	EB1C	2/27/13	2/27/13	.	concurrent	regular	yes	8/15/13	Multiple	11/6/13	approved	11/25/13
India	primary	Nebraska	EB1C	12/7/12	12/10/12	.	non-concurrent	regular	no	.	.	.	approved	6/21/13
India	primary	Texas	EB1A	3/31/13	3/29/13	.	non-concurrent	premium	yes	4/22/13	only 2/3 criteria met.	5/31/13	approved	6/11/13
India	primary	Texas	EB2	4/11/13	4/11/13	.	non-concurrent	regular	.	.	.	.	approved	5/28/13
India	primary	Nebraska	EB2	1/4/13	1/14/13	.	non-concurrent	regular	yes	4/23/13	need paystub and W-2	4/25/13	approved	5/3/13
India	primary	Texas	EB2	4/12/13	4/15/13	.	non-concurrent	premium	.	.	.	.	approved	4/18/13
India	primary	Nebraska	EB2	9/11/12	9/13/12	.	non-concurrent	regular	no	.	.	.	pending	.
India	primary	Texas	EB2	8/7/12	8/8/12	.	non-concurrent	premium	no	.	.	.	approved	8/16/12
India	primary	Vermont	EB2	10/19/12	10/19/12	.	non-concurrent	regular	no	.	.	.	approved	11/29/12
Canada	primary	Nebraska	EB1A	7/23/12	7/31/12	.	non-concurrent	regular	yes	6/3/13	"2 of 3 criteria accepted but f... <a title=""2 of 3 criteria accepted but falling short in all others."" href=""/usa-immigration-trackers/discuss/i140/21848"">more</a>"	8/26/13	approved	9/6/13
Nepal	primary	Texas	EB2	4/16/13	4/17/13	.	concurrent	premium	yes	4/25/13	"Previous job title didn&#039;t... <a title=""Previous job title didn&#039;t match with current job title although all duties/responsibilities are same for both"" href=""/usa-immigration-trackers/discuss/i140/21838"">more</a>"	4/30/13	approved	5/1/13
South Korea	primary	Nebraska	EB2-NIW	9/28/12	10/1/12	.	non-concurrent	regular	no	.	.	.	approved	4/29/13
India	primary	Texas	EB1B	4/11/13	4/12/13	.	non-concurrent	premium	no	.	.	.	approved	4/17/13
India	primary	Nebraska	EB2	6/20/12	6/25/12	.	non-concurrent	regular	.	.	.	.	denied	4/2/13
India	primary	Texas	EB2-NIW	9/4/12	9/9/12	.	non-concurrent	regular	yes	12/10/12	.	2/6/13	pending	.
Italy	primary	Nebraska	EB2	11/19/12	11/23/12	.	concurrent	regular	no	.	.	.	approved	4/16/13
India	primary	Nebraska	EB1C	11/13/12	11/14/12	.	non-concurrent	regular	yes	5/9/13	"I got an sms alert from USCIS ... <a title=""I got an sms alert from USCIS just now that they have issued an RFE for my 140. I will NOT get to know the details of what this RFE was about for various personal reasons. My employer will not be replying to RFE either. So essentially this 140 will be rej"" href=""/usa-immigration-trackers/discuss/i140/21836"">more</a>"	.	pending	.
India	primary	Nebraska	EB2	4/5/13	4/8/13	.	non-concurrent	premium	.	.	.	.	approved	4/18/13
India	primary	Texas	EB2	12/13/11	12/15/11	.	non-concurrent	premium	yes	12/23/11	"Employment experience letter n... <a title=""Employment experience letter need to match the labor job description. When my lawyer submitted the I140 application, all we had was relieving letter. Had to fight with the employer to get the experience letter and my application was approved based on the "" href=""/usa-immigration-trackers/discuss/i140/21837"">more</a>"	1/18/12	approved	1/23/12
India	primary	Texas	EB2	3/3/13	4/2/13	.	non-concurrent	regular	.	.	.	.	pending	.
India	primary	Texas	EB2	4/11/13	4/12/13	.	non-concurrent	premium	.	.	.	.	approved	4/17/13
Canada	primary	California	EB3	1/16/13	1/14/13	.	non-concurrent	premium	no	.	.	.	approved	1/16/13
India	primary	Texas	EB2	1/2/13	1/9/13	.	non-concurrent	regular	.	2/19/12	Education Evaluation.	3/6/12	approved	4/12/13
Brazil	primary	Nebraska	EB2	4/8/13	4/9/13	.	concurrent	premium	no	.	.	.	approved	4/16/13
India	primary	Texas	EB2	4/9/13	4/11/13	.	non-concurrent	regular	yes	5/4/13	"Ability to Pay; Company has ap... <a title=""Ability to Pay; Company has applied I-140 for multiple beneficiaries. Need to provide evidence that it can pay multiple beneficiaries; 84 days provided to respond to RFE"" href=""/usa-immigration-trackers/discuss/i140/21812"">more</a>"	7/1/13	approved	7/19/13
India	primary	Texas	EB2	10/5/12	10/10/12	.	non-concurrent	regular	yes	7/24/13	"Upgraded to Premium and got RF... <a title=""Upgraded to Premium and got RFE within 2 days"" href=""/usa-immigration-trackers/discuss/i140/21810"">more</a>"	10/11/13	approved	10/25/13
Philippines	primary	Nebraska	EB2	12/21/12	12/24/12	.	concurrent	regular	.	.	.	.	pending	.
Brazil	primary	Vermont	EB3	6/2/06	6/5/06	.	concurrent	regular	.	.	.	.	approved	6/14/07
India	primary	Texas	EB2	4/3/13	4/4/13	.	non-concurrent	premium	no	.	.	.	approved	4/11/13
India	primary	Texas	EB2	4/8/13	4/9/13	.	non-concurrent	premium	.	.	.	.	pending	.
India	primary	Texas	EB2	9/17/11	9/20/11	.	concurrent	premium	no	.	.	.	approved	10/21/11
India	primary	Texas	EB1A	9/9/12	9/10/12	.	non-concurrent	regular	yes	4/9/13	.	.	pending	.
India	primary	Texas	EB2	4/10/13	4/11/13	.	non-concurrent	premium	no	.	.	.	approved	5/1/13
India	primary	Texas	EB2	2/22/13	2/22/13	.	non-concurrent	regular	yes	.	.	.	denied	8/16/13
Ghana	primary	Nebraska	EB2	1/8/13	1/9/13	.	concurrent	regular	no	.	.	.	approved	4/23/13
India	primary	Texas	EB2	3/18/13	3/20/13	.	non-concurrent	regular	.	.	.	.	approved	4/15/13
India	primary	Nebraska	EB2	12/12/12	12/13/12	.	non-concurrent	regular	no	.	.	.	approved	4/4/13
Iran	primary	Nebraska	EB2-NIW	7/25/12	7/27/12	.	concurrent	regular	yes	3/6/13	.	3/28/13	approved	6/19/13
India	primary	Nebraska	EB1C	11/5/12	11/5/12	.	concurrent	regular	no	.	.	.	approved	4/29/13
Austria	primary	Nebraska	EB2	12/3/12	12/4/12	.	concurrent	regular	.	.	.	.	approved	4/15/13
India	primary	Nebraska	EB2	11/20/12	11/23/12	.	non-concurrent	regular	no	.	.	.	approved	4/1/13
South Korea	primary	Nebraska	EB2	11/5/12	11/9/12	.	concurrent	regular	.	.	.	.	approved	4/5/13
India	primary	Vermont	EB2	2/18/13	2/25/13	.	non-concurrent	regular	.	.	.	.	approved	9/1/13
India	primary	Nebraska	EB2	1/26/13	1/28/13	.	non-concurrent	regular	yes	6/19/13	"The labor certification, ETA F... <a title=""The labor certification, ETA Fonn 9089, associated with this petition does not require any months or years ofexperience, but does require a specific set of skills as identified in part H, number 14.Submit evidence to establish that the petitioner ha"" href=""/usa-immigration-trackers/discuss/i140/21770"">more</a>"	9/10/13	denied	1/7/14
India	primary	Texas	EB2	4/3/13	4/4/13	.	non-concurrent	premium	yes	.	.	.	withdrawn	.
India	primary	Nebraska	EB1C	10/15/12	10/17/12	.	concurrent	regular	no	.	.	.	approved	4/16/13
Malaysia	primary	Texas	EB2	4/2/13	4/3/13	.	concurrent	premium	.	.	.	.	approved	4/9/13
India	primary	Texas	EB2	12/4/12	12/5/12	.	non-concurrent	regular	.	.	.	.	approved	4/4/13
India	primary	Texas	EB2	3/25/13	3/28/13	.	non-concurrent	premium	no	.	.	.	approved	4/6/13
India	primary	Texas	EB2	4/1/13	4/2/13	.	non-concurrent	premium	no	.	.	.	approved	4/5/13
China	primary	Texas	EB1B	12/11/12	12/12/12	.	non-concurrent	premium	no	.	.	.	approved	12/18/12
India	primary	Texas	EB2	3/29/13	4/1/13	.	non-concurrent	premium	no	.	.	.	approved	4/4/13
India	primary	Nebraska	EB1A	10/15/12	10/15/12	.	non-concurrent	regular	no	.	.	.	approved	4/4/13
India	primary	California	EB2	4/3/13	4/3/13	.	non-concurrent	premium	no	.	.	.	approved	4/17/13
Philippines	primary	Nebraska	EB2	3/20/13	3/22/13	.	concurrent	regular	.	.	.	.	pending	.
India	primary	Nebraska	EB2	4/3/13	4/8/13	.	non-concurrent	premium	.	.	.	.	approved	4/12/13
India	primary	Texas	EB2	4/2/13	4/2/13	.	non-concurrent	premium	.	.	.	.	approved	4/16/13
Thailand	primary	Texas	EB2-NIW	1/4/13	1/8/13	.	non-concurrent	regular	.	.	.	.	approved	2/4/13
India	primary	Texas	EB2	3/19/13	3/20/13	.	non-concurrent	regular	.	.	.	.	pending	.
Iran	primary	Texas	EB2-NIW	12/26/12	12/27/12	.	non-concurrent	regular	no	.	.	.	approved	3/4/13
India	primary	Nebraska	EB2	3/18/13	3/29/13	.	non-concurrent	premium	no	.	.	.	pending	.
India	primary	Texas	EB1B	2/15/13	2/16/13	.	non-concurrent	regular	no	.	.	.	approved	4/1/13
India	primary	California	EB2	12/12/12	12/14/12	.	non-concurrent	premium	.	.	.	.	approved	12/18/12
India	primary	Texas	EB1B	3/23/13	3/26/13	.	non-concurrent	premium	no	.	.	.	approved	4/1/13
India	primary	Texas	EB2	2/25/13	2/28/13	.	non-concurrent	regular	.	.	.	.	pending	.
India	primary	Texas	EB2-NIW	2/23/12	2/23/12	.	non-concurrent	regular	no	.	.	.	approved	5/11/12
India	primary	Vermont	EB2	1/20/11	1/20/11	.	non-concurrent	premium	.	.	.	.	approved	2/6/11
Ukraine	primary	Nebraska	EB2-NIW	3/18/13	3/20/13	.	concurrent	regular	yes	6/15/13	"Due to small number of citatio... <a title=""Due to small number of citations, additional evidence on the impact on the field is requested. Deadline for response is Oct 3 2013."" href=""/usa-immigration-trackers/discuss/i140/21725"">more</a>"	9/27/13	approved	10/7/13
India	primary	Nebraska	EB1C	11/28/12	11/28/12	.	non-concurrent	regular	.	.	.	.	approved	6/3/13
India	primary	Texas	EB1B	3/21/13	3/22/13	.	non-concurrent	premium	no	.	.	.	approved	3/27/13
India	primary	Nebraska	EB2	10/26/12	10/29/12	.	non-concurrent	regular	yes	3/26/13	waiting for the mail	.	approved	7/3/13
Kenya	primary	Texas	EB2-NIW	3/14/13	3/14/13	.	concurrent	regular	no	.	.	.	approved	7/11/13
India	primary	Texas	EB2	3/18/13	3/18/13	.	non-concurrent	premium	.	.	.	.	approved	3/28/13
India	primary	Nebraska	EB1B	10/6/12	10/8/12	.	non-concurrent	premium	yes	10/22/12	"Qualified in 2/6 criteria (jud... <a title=""Qualified in 2/6 criteria (judge of others&#039; work, authorship of publications). RFE requesting additional documents to prove international acclaim as part of final merits determination."" href=""/usa-immigration-trackers/discuss/i140/21719"">more</a>"	11/27/12	denied	12/6/12
Oman	primary	Nebraska	EB3	2/28/08	2/28/08	.	non-concurrent	regular	.	.	.	.	approved	5/4/08
India	primary	Texas	EB1C	2/10/13	2/12/13	.	concurrent	regular	.	.	.	.	approved	5/5/13
India	primary	Texas	EB2	2/6/13	2/7/13	.	non-concurrent	regular	.	.	.	.	approved	4/19/13
Brazil	primary	Nebraska	EB2	9/26/12	9/26/12	.	non-concurrent	regular	yes	3/12/13	academic credentials	3/27/13	approved	4/1/13
India	primary	Texas	EB2	3/23/13	3/25/13	.	non-concurrent	premium	.	.	.	.	approved	4/2/13
India	primary	Texas	EB1B	9/20/12	9/21/12	.	non-concurrent	regular	yes	1/12/13	"proof of relevant work experie... <a title=""proof of relevant work experience"" href=""/usa-immigration-trackers/discuss/i140/21708"">more</a>"	.	approved	2/26/13
India	primary	Texas	EB2	3/22/13	3/22/13	.	non-concurrent	premium	no	.	.	.	approved	3/28/13
India	primary	Texas	EB2	3/22/13	3/25/13	.	non-concurrent	premium	.	.	.	.	approved	3/27/13
Ghana	primary	Texas	EB2	1/7/13	3/10/13	.	concurrent	regular	.	.	.	.	approved	3/22/13
India	primary	Nebraska	EB1C	2/20/13	2/20/13	.	concurrent	regular	no	.	.	.	approved	8/20/13
India	primary	Texas	EB1C	2/23/13	2/25/13	.	non-concurrent	regular	.	.	.	.	approved	4/16/13
India	primary	Texas	EB2	3/22/13	3/25/13	.	non-concurrent	premium	.	.	.	.	approved	3/28/13
India	primary	Nebraska	EB1C	3/8/13	3/11/13	.	non-concurrent	regular	no	.	.	.	approved	8/26/13
Canada	primary	Texas	EB1A	11/25/12	11/28/12	.	non-concurrent	regular	.	.	.	.	approved	7/3/13
United States	primary	Texas	EB1C	10/29/12	10/29/12	.	concurrent	regular	.	.	.	.	pending	.
India	primary	Nebraska	EB1C	1/2/13	1/3/13	.	non-concurrent	regular	no	.	.	.	approved	6/19/13
India	primary	Nebraska	EB2	10/30/12	11/2/12	.	non-concurrent	regular	yes	3/28/13	Skills letter	5/1/13	approved	5/17/13
United Kingdom	primary	Nebraska	EB2	3/5/13	3/7/13	.	concurrent	regular	.	.	.	.	approved	5/3/13
India	primary	California	EB2	12/12/12	12/13/12	.	non-concurrent	regular	.	.	.	.	approved	4/2/13
India	primary	Texas	EB2	3/14/13	3/14/13	.	non-concurrent	premium	no	.	.	.	approved	3/22/13
India	primary	Texas	EB2	2/15/13	2/16/13	.	non-concurrent	regular	.	.	.	.	pending	.
India	primary	Nebraska	EB2	12/17/12	12/18/12	.	non-concurrent	regular	.	.	.	.	approved	4/1/13
Turkey	primary	Texas	EB2	2/12/13	2/14/13	.	concurrent	premium	yes	2/20/13	Ability to pay	3/12/13	approved	3/27/13
India	primary	California	EB2	3/19/13	3/19/13	.	non-concurrent	premium	.	.	.	.	approved	3/26/13
India	primary	Texas	EB1B	3/13/13	3/13/13	.	non-concurrent	premium	.	.	.	.	approved	3/20/13
India	primary	California	EB2	3/11/13	3/13/13	.	non-concurrent	premium	.	.	.	.	approved	3/19/13
Philippines	primary	Texas	EB2	11/30/12	12/2/12	.	concurrent	regular	yes	1/9/13	Detailed Experience letter 	3/1/13	approved	3/14/13
India	primary	Vermont	EB3	4/29/10	8/10/10	.	non-concurrent	regular	no	.	.	.	approved	8/10/10
India	primary	Vermont	EB2	3/15/13	3/18/13	.	non-concurrent	premium	.	.	.	.	approved	3/26/13
India	primary	Texas	EB3	3/8/13	3/11/13	.	non-concurrent	premium	.	.	.	.	approved	3/15/13
India	primary	Texas	EB2	12/4/12	12/7/12	.	non-concurrent	premium	no	.	.	.	approved	12/19/12
India	primary	Texas	EB2	3/12/13	3/13/13	.	non-concurrent	premium	.	.	.	.	approved	3/25/13
India	primary	Nebraska	EB1A	8/20/12	8/22/12	.	non-concurrent	regular	no	.	.	.	approved	3/13/13
India	primary	Texas	EB2	2/15/13	2/19/13	.	non-concurrent	regular	no	.	.	.	approved	3/28/13
India	primary	Texas	EB2	3/12/13	3/14/13	.	non-concurrent	premium	.	.	.	.	approved	3/18/13
China	primary	Nebraska	EB1A	12/11/12	12/6/12	.	concurrent	regular	.	.	.	.	pending	.
India	primary	Nebraska	EB2	12/21/09	9/11/10	.	non-concurrent	regular	.	.	.	.	approved	5/13/11
India	primary	Nebraska	EB2-NIW	2/2/13	2/3/13	.	non-concurrent	regular	no	.	.	.	pending	.
South Korea	primary	Nebraska	EB2-NIW	11/15/12	11/19/12	.	non-concurrent	regular	yes	5/30/13	"specific plan in the U.S. afte... <a title=""specific plan in the U.S. after I receive the green card"" href=""/usa-immigration-trackers/discuss/i140/21639"">more</a>"	7/18/13	approved	8/6/13
India	primary	Texas	EB2	3/4/13	3/5/13	.	non-concurrent	regular	no	.	.	.	approved	5/6/13
India	primary	California	EB2	10/15/12	10/16/12	.	non-concurrent	regular	no	.	.	.	approved	3/29/13
India	primary	Vermont	EB2	1/8/11	1/11/11	.	non-concurrent	regular	no	.	.	.	approved	9/6/11
India	primary	Nebraska	EB2	10/22/12	10/22/12	.	non-concurrent	regular	no	.	.	.	approved	3/14/13
India	primary	Nebraska	EB1C	1/24/13	1/25/13	.	non-concurrent	regular	yes	7/19/13	"USCIS send an RFE where they w... <a title=""USCIS send an RFE where they want to get the detailed job duties in the foreign country with specofic day to day tasks and also the percentage of time spent on each tasks.Additionally they asked to provide the qualifications of all the people reportin"" href=""/usa-immigration-trackers/discuss/i140/21618"">more</a>"	8/27/13	approved	9/6/13
India	primary	Texas	EB2	3/8/13	3/8/13	.	non-concurrent	premium	no	.	.	.	approved	3/13/13
India	primary	Texas	EB3	12/21/10	1/4/11	.	non-concurrent	regular	no	.	.	.	approved	5/18/11
India	primary	Nebraska	EB2	3/4/13	3/5/13	.	non-concurrent	premium	.	.	.	.	approved	3/13/13
India	primary	Texas	EB2	3/12/13	3/14/13	.	non-concurrent	regular	no	.	.	.	approved	6/25/13
India	primary	Texas	EB2	2/19/13	2/21/13	.	non-concurrent	regular	.	.	.	.	approved	4/8/13
India	primary	Texas	EB2	1/28/13	1/28/13	.	non-concurrent	regular	.	.	.	.	pending	.
India	primary	Texas	EB2	2/11/13	2/11/13	.	non-concurrent	regular	.	.	.	.	approved	3/22/13
India	primary	Nebraska	EB2	10/19/12	10/22/12	.	non-concurrent	regular	.	.	.	.	approved	3/20/13
China	primary	Nebraska	EB2-NIW	8/5/12	8/5/12	.	non-concurrent	regular	no	.	.	.	approved	3/11/13
Taiwan	primary	Nebraska	EB2	4/10/11	4/15/11	.	non-concurrent	regular	no	.	.	.	approved	8/29/11
India	primary	Nebraska	EB2	1/6/13	1/11/13	.	non-concurrent	regular	yes	4/22/13	"They asked to submit the exper... <a title=""They asked to submit the experience latter stating that I indeed have two years of experience before the priority date. "" href=""/usa-immigration-trackers/discuss/i140/21592"">more</a>"	5/2/13	approved	5/10/13
India	primary	Nebraska	EB2	12/5/12	12/10/12	.	non-concurrent	regular	yes	4/16/13	Ability to pay	5/1/13	approved	5/7/13
India	primary	Nebraska	EB2	1/8/13	1/10/13	.	non-concurrent	regular	yes	4/12/13	"Asking for recent paychecks an... <a title=""Asking for recent paychecks and 2012 W2."" href=""/usa-immigration-trackers/discuss/i140/21589"">more</a>"	4/24/13	approved	5/8/13
India	primary	Nebraska	EB2	11/14/12	11/15/12	.	non-concurrent	regular	.	.	.	.	approved	3/27/13
India	primary	Nebraska	EB2	2/27/13	2/28/13	.	non-concurrent	regular	no	.	.	.	approved	5/6/13
India	primary	Texas	EB2-NIW	2/27/13	2/28/13	.	non-concurrent	regular	no	.	.	.	approved	4/19/13
India	primary	Texas	EB1C	2/21/13	2/21/13	.	non-concurrent	regular	.	.	.	.	approved	4/1/13
India	primary	Nebraska	EB2	2/26/13	2/28/13	.	non-concurrent	premium	no	.	.	.	approved	3/5/13
India	primary	Texas	EB2	11/12/12	11/15/12	.	non-concurrent	premium	.	.	.	.	approved	11/25/12
India	primary	California	EB2	3/1/13	3/1/13	.	non-concurrent	premium	.	.	.	.	approved	3/7/13
India	primary	Texas	EB3	2/19/13	2/25/13	.	non-concurrent	regular	.	.	.	.	approved	4/9/13
India	primary	Texas	EB3	3/7/13	3/11/13	.	non-concurrent	premium	no	.	.	.	approved	3/20/13
India	primary	Nebraska	EB1B	10/29/12	10/29/12	.	concurrent	regular	.	.	.	.	pending	.
India	primary	Texas	EB2	2/25/13	2/26/13	.	non-concurrent	premium	.	.	.	.	approved	3/7/13
India	primary	Texas	EB1C	2/6/13	2/7/13	.	non-concurrent	regular	yes	4/4/13	"Apparently the attorney missed... <a title=""Apparently the attorney missed a signature in one of the documents"" href=""/usa-immigration-trackers/discuss/i140/21561"">more</a>"	4/26/13	approved	5/2/13
India	primary	Texas	EB2-NIW	2/15/13	2/15/13	.	non-concurrent	regular	no	.	.	.	approved	4/19/13
India	primary	Nebraska	EB2	3/4/13	3/15/13	.	non-concurrent	premium	.	.	.	.	approved	3/18/13
Iran	primary	Texas	EB2-NIW	2/14/13	2/16/13	.	non-concurrent	regular	.	.	.	.	approved	3/14/13
India	primary	Nebraska	EB3	10/10/12	10/18/12	.	non-concurrent	premium	no	.	.	.	approved	10/22/12
India	primary	Texas	EB2	3/5/13	3/5/13	.	non-concurrent	regular	.	.	.	.	approved	5/24/13
Pakistan	primary	Nebraska	EB2	10/10/12	10/14/12	.	concurrent	regular	yes	3/9/13	need educational docs..	3/19/13	approved	3/29/13
India	primary	Texas	EB2	3/1/13	3/5/13	.	non-concurrent	premium	.	.	.	.	approved	3/8/13
India	primary	Texas	EB2	11/1/10	11/3/10	.	non-concurrent	regular	no	.	.	.	approved	5/11/11
India	primary	Texas	EB2	2/26/13	2/27/13	.	non-concurrent	premium	no	.	.	.	approved	3/6/13
India	primary	Nebraska	EB2	9/5/12	9/6/12	.	non-concurrent	regular	no	.	.	.	approved	3/31/13
India	primary	Nebraska	EB2	10/9/12	10/11/12	.	non-concurrent	regular	no	.	.	.	approved	3/4/13
India	primary	Nebraska	EB2	11/5/12	11/5/12	.	non-concurrent	regular	no	.	.	.	approved	3/19/13
Iran	primary	Texas	EB2-NIW	1/5/13	1/9/13	.	non-concurrent	regular	.	.	.	.	approved	3/21/13
Pakistan	primary	Texas	EB2	2/12/13	2/14/13	.	non-concurrent	premium	yes	2/22/13	Ability to pay	3/21/13	approved	3/26/13
India	primary	Nebraska	EB3	1/23/13	1/23/13	.	non-concurrent	regular	.	.	.	.	approved	3/14/13
India	primary	Texas	EB2	1/14/11	1/18/11	.	non-concurrent	premium	.	.	.	.	approved	1/31/11
India	primary	Texas	EB2	2/27/13	2/28/13	.	non-concurrent	premium	yes	3/7/13	Don&#039;t know yet.	.	approved	7/10/13
India	primary	Texas	EB3	2/27/13	2/28/13	.	non-concurrent	premium	.	.	.	.	approved	3/11/13
India	primary	Texas	EB2	2/3/13	2/4/13	.	non-concurrent	regular	yes	4/12/13	"Ability to pay and status of a... <a title=""Ability to pay and status of all previous petitions by the employer"" href=""/usa-immigration-trackers/discuss/i140/21533"">more</a>"	5/24/13	approved	6/5/13
India	primary	Nebraska	EB1C	11/15/12	11/15/12	.	non-concurrent	regular	no	.	.	.	approved	5/31/13
India	primary	Nebraska	EB2	2/27/13	2/28/13	.	non-concurrent	premium	yes	3/11/13	"Finacial documents from compan... <a title=""Finacial documents from company and latest pay stubs from me."" href=""/usa-immigration-trackers/discuss/i140/21527"">more</a>"	4/29/13	approved	5/7/13
India	primary	Texas	EB2	2/22/13	2/24/13	.	non-concurrent	premium	.	.	.	.	approved	2/28/13
India	primary	Vermont	EB2	2/7/13	2/8/13	.	non-concurrent	regular	no	.	.	.	approved	4/12/13
India	primary	Nebraska	EB2	2/12/13	2/13/13	.	non-concurrent	premium	.	.	.	.	approved	4/9/13
Estonia	primary	Nebraska	EB2	1/8/13	1/8/13	.	concurrent	regular	.	.	.	.	approved	4/26/13
Nepal	primary	Nebraska	EB2	10/25/12	10/28/12	.	non-concurrent	regular	no	.	.	.	approved	1/30/13
India	primary	California	EB2	2/12/13	2/13/13	.	non-concurrent	regular	.	.	.	.	approved	4/29/13
India	primary	Nebraska	EB1C	10/23/12	10/23/12	.	concurrent	regular	.	.	.	.	approved	2/24/13
India	primary	Vermont	EB2	11/15/12	2/7/13	.	non-concurrent	premium	.	.	.	.	approved	2/23/13
India	primary	Texas	EB2	2/19/12	2/20/12	.	non-concurrent	premium	.	.	.	.	approved	2/22/12
India	primary	Chicago	EB3	12/28/12	1/2/13	.	non-concurrent	regular	.	.	.	.	pending	.
Italy	primary	Nebraska	EB2-NIW	7/27/12	7/31/12	.	non-concurrent	regular	no	.	.	.	approved	3/29/13
India	primary	Nebraska	EB2	2/19/13	2/20/13	.	non-concurrent	premium	.	.	.	.	approved	2/26/13
India	primary	Texas	EB2	2/11/13	2/14/13	.	non-concurrent	premium	no	.	.	.	approved	2/25/13
India	primary	Nebraska	EB2	7/15/12	7/15/12	.	non-concurrent	regular	yes	1/2/13	"Experiences less than 60 month... <a title=""Experiences less than 60 months."" href=""/usa-immigration-trackers/discuss/i140/21499"">more</a>"	2/13/13	approved	2/17/13
